date,rack_config,position,basket_no
20260120,A,1,32
20260120,A,2,31
20260120,A,3,19
20260120,A,4,33
20260120,A,5,21
20260120,A,6,34
20260120,A,7,14
20260120,A,8,16
20260120,B,1,15
20260120,B,2,28
20260120,B,3,29
20260120,B,4,13
20260120,B,5,38
20260120,B,6,40
20260120,B,7,42
20260120,B,8,43
20260120,C,1,36
20260120,C,2,27
20260120,C,3,23
20260120,C,4,17
20260120,C,5,22
20260120,C,6,26
20260120,C,7,24
20260120,C,8,25
20260120,D,1,39
20260120,D,2,35
20260120,D,3,41
20260120,D,4,20
20260120,D,5,18
20260120,D,6,30
20260120,D,7,37
20260122,A,1,BAG69
20260122,A,2,BAG70
20260122,A,3,BAG90
20260122,A,4,BAG62
20260122,A,5,BAG53
20260122,A,6,BAG68
20260122,A,7,BAG19
20260122,A,8,BAG37
20260122,B,1,22
20260122,B,2,19
20260122,B,3,17
20260122,B,4,28
20260122,B,5,27
20260122,B,6,20
20260122,B,7,15
20260122,B,8,BAG71
20260122,C,1,34
20260122,C,2,39
20260122,C,3,38
20260122,C,4,37
20260122,C,5,47
20260122,C,6,25
20260122,C,7,21
20260122,C,8,BAG32
20260122,D,1,43
20260122,D,2,36
20260122,D,3,33
20260122,D,4,40
20260122,D,5,18
20260122,D,6,14
20260122,D,7,29
20260122,D,8,44
20260122,E,1,26
20260122,E,2,13
20260122,E,3,31
20260122,E,4,32
20260122,E,5,35
20260122,E,6,45
20260122,E,7,48
20260122,E,8,24
20260122,F,1,30
20260122,F,2,41
20260122,F,3,42
20260122,F,4,16
20260122,F,5,23
20260122,F,6,46
20260123,A,1,37
20260123,A,2,47
20260123,A,3,26
20260123,A,4,46
20260123,A,5,13
20260123,A,6,23
20260123,A,7,36
20260123,A,8,43
20260123,B,1,42
20260123,B,2,31
20260123,B,3,16
20260123,B,4,17
20260123,B,5,16
20260123,B,6,33
20260123,B,7,35
20260123,B,8,39
20260123,C,1,22
20260123,C,2,32
20260123,C,3,21
20260123,C,4,20
20260123,C,5,24
20260123,C,6,34
20260123,C,7,44
20260123,C,8,18
20260123,D,1,40
20260123,D,2,35
20260123,D,3,29
20260123,D,4,14
20260123,D,5,30
20260123,D,6,38
20260123,D,7,48
20260123,D,8,28
20260123,E,1,27
20260123,E,2,25
20260123,E,3,19
20260123,E,4,BAG17
20260123,E,5,BAG74
20260123,E,6,BAG6
20260123,E,7,BAG55
20260123,E,8,BAG13
